Fecha Último Apert.  Dif. Máx. Mín. Volumen
28/11/14 118.93 119.36 -0.1  119.4 118.05 7631084
26/11/14 119 117.95 1.2  119.1 117.84 10491462
25/11/14 117.6 119.1 -0.9  119.75 117.45 17297827
24/11/14 118.63 116.85 1.9  118.77 116.62 13010706
21/11/14 116.47 117.57 0.1  117.57 116.04 19215068
20/11/14 116.31 114.95 1.4  116.86 114.89 10226356
19/11/14 114.67 115.5 -0.7  115.73 113.8 10076136
18/11/14 115.47 113.99 1.3  115.69 113.89 10323443
17/11/14 113.99 114.31 -0.2  115.08 113.3 11138986
14/11/14 114.18 113.16 1.2  114.19 113.07 10057376
13/11/14 112.82 111.81 1.4  113.45 111.6 13284354
12/11/14 111.25 109.42 1.4  111.43 109.4 13069688
11/11/14 109.7 108.75 0.8  109.75 108.4 7495337
10/11/14 108.83 109 -0.2  109.33 108.67 6179458
7/11/14 109.01 108.72 0.3  109.32 108.61 9003211
6/11/14 108.7 108.59 -0.1  108.75 107.8 9330276
5/11/14 108.86 109.19 0.2  109.22 108.13 8677151
4/11/14 108.6 109.45 -0.7  109.47 107.73 10236599
3/11/14 109.4 108.16 1.3  109.9 108.02 12084901
31/10/14 108 108.04 1.0  108.04 107.22 14021240
30/10/14 106.98 106.89 -0.3  107.34 105.9 13405799
29/10/14 107.34 106.73 0.6  107.37 106.37 17904865
28/10/14 106.74 105.39 1.6  106.74 105.38 14315662
27/10/14 105.11 104.9 -0.1  105.48 104.71 7811368
24/10/14 105.22 105.12 0.4  105.49 104.53 11862961
23/10/14 104.83 103.95 1.8  105.05 103.63 18097906
22/10/14 102.99 102.89 0.5  104.1 102.6 17125732
21/10/14 102.47 103 2.7  103 101.27 22219176
20/10/14 99.76 98.37 2.1  99.96 98.31 16181376
17/10/14 97.67 97.5 1.5  99 96.83 21201470
16/10/14 96.26 95.52 -1.3  97.72 95.41 20386442
15/10/14 97.54 98 -1.2  99.15 95.18 26673342
14/10/14 98.75 100.34 -1.1  100.52 98.58 18240453
13/10/14 99.81 101.31 -0.9  101.78 99.81 15346452
10/10/14 100.73 100.73 -0.3  102.03 100.3 19402819
9/10/14 101.2 101.5 0.4  102.38 100.62 16136427
8/10/14 100.8 98.78 2.1  101.11 98.31 15912696
7/10/14 98.75 99.41 -0.9  100.12 98.73 10814143
6/10/14 99.62 99.94 0.0  100.65 99.42 8761813
3/10/14 99.62 99.42 -0.3  100.2 99.04 11568488
2/10/14 99.9 99.36 0.7  100.21 98.05 11964110
1/10/14 99.18 100.58 -1.6  100.68 98.71 12108845
30/9/14 100.75 100.77 0.6  101.54 100.53 13894414
29/9/14 100.11 98.7 -0.6  100.43 98.7 10756368
26/9/14 100.75 98.55 2.9  100.75 98.43 16020284
25/9/14 97.87 100.48 -3.8  100.71 97.72 23781490
24/9/14 101.75 102.1 -0.9  102.85 101.2 13784511
23/9/14 102.64 100.65 1.6  102.93 100.54 13319325
22/9/14 101.06 101.8 0.1  102.14 100.59 13730342
19/9/14 100.96 102.29 -0.8  102.35 100.96 27573849
18/9/14 101.79 101.9 0.2  102.35 101.56 9329763
17/9/14 101.58 101.32 0.7  101.79 100.6 14389762
16/9/14 100.86 99.85 -0.8  101.26 98.89 14978054
15/9/14 101.63 102.81 -0.0  103 101.44 13843482
12/9/14 101.66 101.22 0.2  102.18 101.08 14175021
11/9/14 101.43 100.45 0.4  101.43 99.63 12861390
10/9/14 101 98.01 3.1  101.11 97.76 21080108
9/9/14 97.99 99.11 -0.4  103.08 96.14 41704289
8/9/14 98.36 99.3 -0.6  99.3 98.05 11142146
5/9/14 98.97 98.89 0.9  99.39 98.31 14236267
4/9/14 98.12 99 -0.8  100.09 97.8 17571072
3/9/14 98.94 103.2 -4.2  103.2 98.59 24508609
2/9/14 103.3 103.04 0.8  103.74 102.73 11067883
29/8/14 102.5 102.88 0.2  102.9 102.2 12648934
28/8/14 102.25 101.59 0.1  102.78 101.59 15663934
27/8/14 102.13 101 1.2  102.57 100.7 10519142
26/8/14 100.89 101.46 -0.6  101.5 100.87 7459706
25/8/14 101.54 101.81 0.2  102.17 101.29 9732638
22/8/14 101.31 100.31 0.7  101.47 100.19 10496878
21/8/14 100.58 100.55 0.0  100.94 100.12 7976580
20/8/14 100.57 100.48 0.0  101.09 99.95 12850397
19/8/14 100.56 99.41 1.4  100.68 99.32 15122761
18/8/14 99.16 98.48 1.2  99.37 97.98 12486916
