Fecha Último Apert.  Dif. Máx. Mín. Volumen
28/11/14 338.64 336.11 1.5  341.15 336.11 1063553
26/11/14 333.57 334.24 -0.4  334.65 331.77 683444
25/11/14 335.04 335.27 -0.2  336.22 331.29 829028
24/11/14 335.64 334.37 0.9  337.36 333.63 946467
21/11/14 332.63 335.42 0.6  338.33 331.49 1553836
20/11/14 330.54 324 1.2  332.67 323.5 903608
19/11/14 326.54 327 0.5  328.39 324.03 1056220
18/11/14 324.93 323.99 0.6  329.54 323.39 1123659
17/11/14 323.05 326.01 -1.5  328 318.03 1548162
14/11/14 327.82 317.26 3.6  332.25 316.41 2285344
13/11/14 316.48 312 1.6  317.88 311.51 1093231
12/11/14 311.51 310.75 -0.2  312.54 308.86 720087
11/11/14 312.01 305.94 2.3  312.34 303.7 1153251
10/11/14 305.11 300 1.8  305.8 300 989198
7/11/14 299.86 297.82 1.1  299.99 296.29 917118
6/11/14 296.64 296.9 0.0  297 292.32 1253942
5/11/14 296.52 303.01 -2.1  303.58 294.16 1396181
4/11/14 302.81 303.74 -1.0  304.22 300.18 1136001
3/11/14 305.72 306.69 0.1  308 303.25 1124896
31/10/14 305.46 305.25 2.1  305.71 301.51 1476067
30/10/14 299.07 293.98 1.7  299.7 292.36 1301048
29/10/14 294.12 299.49 -0.5  299.49 293.1 1563398
28/10/14 295.59 289.97 1.9  297.99 289.79 1875506
27/10/14 289.97 285.7 1.0  290.4 285.05 1713187
24/10/14 287.06 284.8 -8.3  293.81 284 5215401
23/10/14 313.18 313.11 0.1  316.79 311.51 2479443
22/10/14 312.97 315.43 -0.7  318.96 312.66 1100554
21/10/14 315.33 309.9 3.0  315.64 307.14 1151900
20/10/14 306.21 302.96 0.8  306.52 302.02 1095133
17/10/14 303.64 306.82 0.3  309.2 302.72 1450336
16/10/14 302.86 293.83 -1.0  306.78 293.83 1649186
15/10/14 305.97 304.35 -0.8  307.8 299.12 1530747
14/10/14 308.31 308.37 0.6  312.19 305.82 1046924
13/10/14 306.45 310 -1.6  313.16 303.56 1454944
10/10/14 311.39 313.71 -1.3  317.77 311.38 1100107
9/10/14 315.63 321.54 -2.2  322.23 314.55 986826
8/10/14 322.7 316.58 1.8  324.09 314.16 1070387
7/10/14 316.98 319.43 -1.6  321.95 316.7 751316
6/10/14 322.2 324.13 -0.2  324.13 319.75 739592
3/10/14 322.74 320.35 1.4  325.16 319.61 921250
2/10/14 318.41 316.92 0.3  318.5 311.43 979792
1/10/14 317.46 322.04 -1.5  322.04 315.6 879348
30/9/14 322.44 320.21 0.2  323.43 318.62 864600
29/9/14 321.82 320.5 -0.4  323.7 319.33 573321
26/9/14 323.21 321.5 0.4  323.49 317.65 1108507
25/9/14 321.93 327.35 -1.9  328.54 321.43 1005183
24/9/14 328.21 324.17 1.4  329.43 319.56 734362
23/9/14 323.63 322.46 -0.3  327.52 321.25 698565
22/9/14 324.5 328.47 -2.1  328.88 321.07 876956
19/9/14 331.32 327.6 1.9  332.72 325.57 2678423
18/9/14 325 325.44 0.3  327.05 323.73 765770
17/9/14 324 327.76 -1.1  327.99 321.62 1209558
16/9/14 327.76 321.73 1.2  329.46 320.18 1001002
15/9/14 323.89 330.91 -2.2  331.18 319 1149833
12/9/14 331.19 329.56 0.2  332.89 328.86 739242
11/9/14 330.52 329.94 -0.2  333.01 326.5 746268
