Fecha Último Apert.  Dif. Máx. Mín. Volumen
28/11/14 54.88 54.9 0.6  55.19 54.58 1293372
26/11/14 54.57 54.56 0.3  54.68 54.3 1539477
25/11/14 54.4 54.26 0.0  54.68 54.26 2608343
24/11/14 54.39 54.63 -0.1  54.7 54.23 2269386
21/11/14 54.42 54.85 -0.2  54.85 54.23 3496944
20/11/14 54.54 54.51 -0.7  54.72 54.32 1836230
19/11/14 54.94 55.33 -0.8  55.33 54.26 1827051
18/11/14 55.38 54.81 1.0  55.66 54.71 2281024
17/11/14 54.83 54.38 0.9  55.1 54.38 2259431
14/11/14 54.36 54.27 -0.0  54.61 54.06 1409733
13/11/14 54.37 54.27 0.6  54.61 54.2 1990979
12/11/14 54.06 53.64 -0.2  54.35 53.3 1578317
11/11/14 54.19 54 0.6  54.36 53.49 2081879
10/11/14 53.89 53.39 0.7  53.94 53.26 1932570
7/11/14 53.52 53.35 0.5  53.73 53.12 1780757
6/11/14 53.26 53.45 -0.6  53.65 52.99 1609830
5/11/14 53.59 53.47 0.6  53.74 53.33 2315413
4/11/14 53.27 52.46 1.1  53.32 52.45 2701840
3/11/14 52.7 52.32 0.4  52.94 52.31 1913253
31/10/14 52.5 52.63 1.8  52.65 51.99 2819306
30/10/14 51.55 51.09 0.4  52 50.93 2170736
29/10/14 51.33 50.79 0.3  51.41 50.74 1951121
28/10/14 51.2 51.19 0.0  51.29 51 3305247
27/10/14 51.19 51.12 0.1  51.49 50.97 2576855
24/10/14 51.12 50.95 0.6  51.28 50.61 2952260
23/10/14 50.79 50.61 1.3  51.06 50.36 4090814
22/10/14 50.13 51.03 -1.4  51.61 49.97 5985340
21/10/14 50.86 49.63 3.4  50.97 49.52 5052536
20/10/14 49.2 48.03 2.6  49.36 47.91 5246677
17/10/14 47.95 48.24 0.1  48.58 47.92 4732790
16/10/14 47.88 48.5 -4.7  48.67 46.34 10652328
15/10/14 50.24 50.06 -0.7  50.32 48.93 5742771
14/10/14 50.59 50.94 0.3  51.5 50.36 4453674
13/10/14 50.46 51.65 -2.7  51.93 50.36 3563523
10/10/14 51.86 52.68 -1.9  52.84 51.83 3600374
9/10/14 52.91 54.17 -2.9  54.22 52.81 2532601
8/10/14 54.51 53.28 2.9  54.67 53.24 5060026
7/10/14 52.97 53.22 -1.1  53.67 52.94 2902805
6/10/14 53.55 54.48 -1.6  54.54 53.49 2954464
3/10/14 54.44 55.06 -0.8  55.18 54.17 3381463
2/10/14 54.86 55.22 -1.1  55.62 54.38 3634433
1/10/14 55.46 55.15 -2.1  56.08 54.98 6992542
30/9/14 56.63 56.66 7.5  57.3 55.95 18227871
29/9/14 52.66 52.51 -0.5  53 52.3 2052280
26/9/14 52.93 52.07 1.5  53.14 52.04 2695662
25/9/14 52.15 52.7 -1.5  52.92 52.03 2798117
24/9/14 52.93 52.84 0.4  53.18 52.63 2651971
23/9/14 52.74 52.3 0.5  53.03 52.17 3759853
22/9/14 52.47 52.27 0.1  52.5 51.84 2652676
19/9/14 52.4 52.85 -0.6  53.05 52.33 8604165
18/9/14 52.7 52 1.4  52.72 51.77 3701790
17/9/14 51.95 51.61 0.7  52.14 51.4 3697249
16/9/14 51.61 50.98 1.3  51.88 50.56 4124605
15/9/14 50.96 52.22 -2.4  52.28 50.76 3796015
12/9/14 52.19 50.6 3.0  53.07 50.04 12635230
11/9/14 50.68 50.8 -0.8  51.28 50.51 3958578
10/9/14 51.1 51.15 -3.1  51.55 50.55 8157978
9/9/14 52.73 54.25 -2.8  55 52.44 6335121
8/9/14 54.23 53.78 0.6  54.28 53.47 2547733
5/9/14 53.9 54.29 -1.0  54.32 53.31 4651859
4/9/14 54.44 54.76 -0.2  55.44 54 3732445
3/9/14 54.55 55.15 -0.6  55.3 54.36 2639391
2/9/14 54.88 55.47 -1.1  55.59 54.69 3360542
29/8/14 55.17 55.74 -0.5  55.74 55.09 257032
28/8/14 55.43 55.51 -0.9  55.61 55.03 2852017
26/8/14 56.25 55.44 1.4  56.5 55.41 2693922
25/8/14 55.49 55.61 -0.0  56.12 55.38 2086266
22/8/14 55.5 55.72 -0.7  55.97 55.22 3677468
21/8/14 55.89 53.55 4.7  57.05 53.5 12058527
20/8/14 53.38 53.51 -0.7  53.65 53.29 2055768
19/8/14 53.75 53.3 1.2  53.76 53.21 2326305
18/8/14 53.11 53.09 0.9  53.15 52.97 3287707
15/8/14 52.64 53.38 -0.5  53.38 52.59 5692997
14/8/14 52.93 53 -0.1  53.16 52.81 2687490
13/8/14 52.97 52.74 -0.9  53.14 52.5 3420686
12/8/14 53.43 53.83 -0.8  53.93 53.18 2100452
11/8/14 53.88 54.23 -0.4  54.44 53.73 2074686
8/8/14 54.09 53.56 1.0  54.17 53.15 2602852
7/8/14 53.56 53.65 0.2  54.25 53.43 2952226
6/8/14 53.46 52.96 0.4  53.69 52.8 3041954
5/8/14 53.26 53 0.4  53.32 52.83 3007508
4/8/14 53.06 52.41 1.0  53.13 52.25 3112163
1/8/14 52.51 52.66 -0.5  52.91 52.14 3413364
30/7/14 53.23 53.28 0.0  53.57 52.76 3125531
29/7/14 53.21 52.93 0.5  53.38 52.76 3447045
28/7/14 52.93 52.67 0.3  53.08 52.23 2265688
25/7/14 52.75 52.78 -0.9  53.1 52.55 2970659
24/7/14 53.23 52.52 1.1  53.5 52.52 4390012
23/7/14 52.66 52 1.2  52.72 51.87 4493628
22/7/14 52.05 51.85 0.7  52.29 51.72 2737011
21/7/14 51.7 51.31 0.4  51.85 51.04 2527103
18/7/14 51.4 50.93 0.7  51.64 50.58 2733813
17/7/14 51.03 51.03 0.7  51.83 50.84 5482812
16/7/14 50.7 51.18 -0.2  51.18 50.5 3515618
15/7/14 50.81 51.43 -0.7  51.49 50.53 3105210
14/7/14 51.16 51.26 -0.7  51.31 50.67 2379938
11/7/14 51.5 51.01 2.3  51.82 51 3634176
10/7/14 50.34 50.21 -1.2  50.53 49.74 2328790
9/7/14 50.93 50.3 1.5  50.93 50.01 2344501
8/7/14 50.18 50.51 -1.1  50.7 50.01 4186002
7/7/14 50.74 50.94 -0.4  50.98 50.63 2296406
3/7/14 50.94 50.96 0.8  51.08 50.62 1492664
2/7/14 50.56 50.51 0.1  50.8 50.5 2037694
1/7/14 50.5 50.12 0.9  50.66 50.07 2165462
30/6/14 50.06 50 -0.0  50.11 49.8 2809795
27/6/14 50.08 49.6 1.2  50.18 49.43 3469386
26/6/14 49.47 49.48 0.3  49.66 49.05 2520862
25/6/14 49.32 48.85 1.0  49.5 48.8 2706407
24/6/14 48.85 49.4 -1.1  49.49 48.76 4083196
23/6/14 49.39 49.58 0.1  49.58 48.9 3545195
20/6/14 49.34 49.74 -0.5  49.75 48.95 8768735
19/6/14 49.6 49.7 -0.1  49.8 49.5 3002308
18/6/14 49.66 49.2 1.2  49.73 49.07 2701688
17/6/14 49.06 48.78 0.1  49.22 48.78 2280417
16/6/14 49 48.92 -0.1  49.17 48.74 2174290
13/6/14 49.04 48.77 1.0  49.26 48.63 2789520
12/6/14 48.56 48.92 -0.6  49.12 48.5 3439658
11/6/14 48.83 48.25 1.2  48.9 48.14 3541787
10/6/14 48.25 48.62 -2.7  48.81 48.17 7145447
9/6/14 49.58 49.1 -0.2  49.73 48.5 5495608
6/6/14 49.7 50.86 -1.8  50.88 49.5 5685497
5/6/14 50.59 50.6 0.3  50.6 50.09 3437516
4/6/14 50.45 50.21 0.1  50.74 49.93 2108623
3/6/14 50.42 50.5 -0.1  50.91 50.27 2569539
2/6/14 50.49 50.68 -0.5  50.94 50.34 2305512
30/5/14 50.73 50.3 1.2  50.78 49.81 5666529
29/5/14 50.14 50.64 -0.5  50.77 49.96 4432285
28/5/14 50.39 51.74 -2.7  51.79 50.3 3842656
27/5/14 51.77 52.21 -0.5  52.31 51.71 2703135
23/5/14 52.02 51.72 1.0  52.04 51.52 1933798
22/5/14 51.5 52 -0.7  52.02 51.19 3214402
21/5/14 51.88 50.86 -0.2  51.88 50.3 4239204
20/5/14 51.96 52.19 -0.7  52.22 51.64 1914205
19/5/14 52.33 51.72 0.7  52.46 51.66 2419463
16/5/14 51.95 51.66 1.1  52.48 50.99 5707481
15/5/14 51.36 51.19 -0.6  51.47 50.66 4012415
14/5/14 51.65 51.78 0.1  52.08 51.59 2970577
13/5/14 51.58 51.5 0.5  51.76 51.27 3472680
12/5/14 51.33 50.83 1.5  51.37 50.72 3502004
9/5/14 50.56 50.32 0.6  50.87 50.31 3937145
8/5/14 50.26 50.53 -0.6  51.2 50.03 3384063
7/5/14 50.57 50.82 -0.7  51.02 49.78 5976732
6/5/14 50.95 51.78 -2.0  51.89 50.89 4129141
5/5/14 52 51.65 -0.0  52.35 51.58 2778188
2/5/14 52.01 51.71 0.6  52.53 51.7 4546138
1/5/14 51.69 52.31 -0.3  52.75 51.68 3928559
30/4/14 51.83 51.95 -5.0  52.4 50.89 9094061
29/4/14 54.54 54.06 1.7  54.66 53.4 3618733
28/4/14 53.64 53.82 -0.1  54.07 52.96 2954730
25/4/14 53.72 54.55 -2.1  54.78 53.45 3499767
24/4/14 54.85 55.3 -0.2  55.59 54.45 2456867
23/4/14 54.94 55.47 -1.0  55.56 54.64 2248111
22/4/14 55.47 54.88 1.0  55.62 54.56 2345896
21/4/14 54.93 54.96 -0.1  55 54.32 1643112
17/4/14 54.97 54.48 0.5  55.17 54.47 2654065
16/4/14 54.69 54.62 1.5  54.87 53.92 2695555
15/4/14 53.9 54.24 -0.2  54.24 52.93 3668577
14/4/14 53.99 53.75 1.0  54.07 53.3 3652744
11/4/14 53.46 53.89 -1.1  54.47 53.34 4337100
10/4/14 54.08 55.02 -3.2  55.25 53.91 8730937
9/4/14 55.89 54.94 2.0  55.96 54.89 3229681
8/4/14 54.8 53.76 3.5  55.01 53.39 5429809
7/4/14 52.95 53.98 -1.9  54.12 52.87 5583669
4/4/14 54 55.34 -1.1  55.5 53.88 5243648
3/4/14 54.58 55 -1.6  55.23 54.3 3619707
2/4/14 55.45 56 -1.1  56.25 55.3 2894997
1/4/14 56.04 55.48 1.4  56.2 55.39 2347074
31/3/14 55.24 55.68 0.1  56.16 55.22 2673566
28/3/14 55.19 55.45 0.0  55.64 54.75 2707525
27/3/14 55.18 55.46 -0.8  55.76 54.23 3157922
26/3/14 55.6 56.82 -1.3  56.83 55.48 2845725
25/3/14 56.33 56.7 -0.3  57.05 55.74 2812590
24/3/14 56.51 57.01 -0.8  57.51 56.19 3014157
21/3/14 56.98 57.75 -0.2  57.75 56.79 5670665
20/3/14 57.12 57.26 -0.3  57.35 56.65 2405755
19/3/14 57.3 57.63 -0.9  58.17 56.98 2467838
18/3/14 57.84 57.55 0.7  58.06 57.27 2025739
17/3/14 57.42 57.8 1.2  57.8 57.06 3243413
14/3/14 56.74 56.6 0.1  57.3 56.42 2450584
13/3/14 56.7 58.3 -2.2  58.58 56.47 3883185
12/3/14 57.99 57.14 0.8  58.06 56.97 2681006
11/3/14 57.54 58.45 -1.2  58.93 57.48 2990932
10/3/14 58.22 58.42 -1.4  58.89 58.03 3057375
7/3/14 59.06 59.5 -0.4  59.55 58.64 2869249
6/3/14 59.3 58.88 0.7  59.64 58.88 3305934
5/3/14 58.86 59.2 -0.3  59.64 58.81 2626498
4/3/14 59.06 58.99 1.3  59.27 58.75 2974983
3/3/14 58.31 57.75 -0.8  58.57 57.47 3400255
28/2/14 58.77 58.56 0.7  59.7 58.36 5417429
27/2/14 58.34 57.3 1.7  59.27 57.25 7919151
26/2/14 57.34 56.2 2.1  57.79 56.18 5122339
25/2/14 56.15 56.16 -0.3  56.48 55.6 3039925
24/2/14 56.3 55.1 3.1  56.73 54.88 6463034
21/2/14 54.59 55.16 -0.7  55.51 54.58 4643945
20/2/14 54.96 54.77 0.4  55.31 54.73 2275908
19/2/14 54.74 55.41 -0.7  55.5 54.64 2796193
18/2/14 55.15 54.9 0.7  55.53 54.51 3103752
14/2/14 54.77 54.16 -0.3  54.92 54.06 3001763
13/2/14 54.92 54.3 0.2  54.95 54.12 3784773
12/2/14 54.83 54.27 1.0  54.9 54.18 3730701
11/2/14 54.31 54 1.0  54.43 53.46 3051289
10/2/14 53.78 54.47 -1.5  54.47 53.44 2898076
7/2/14 54.6 54.45 0.4  54.73 53.84 3247551
6/2/14 54.37 53.72 1.6  54.53 53.53 3620042
5/2/14 53.52 52.29 1.2  54.03 52.08 5277414
4/2/14 52.91 52.56 1.0  53.13 52.49 3180780
3/2/14 52.39 53.12 -1.5  53.34 52.11 5051250
31/1/14 53.2 52.37 0.1  53.62 52.37 4240157
30/1/14 53.17 52.71 1.9  53.35 52.45 3991463
29/1/14 52.19 52.81 -1.8  52.95 52.05 5147739
