Fecha Último Apert.  Dif. Máx. Mín. Volumen
28/11/14 541.83 540.01 0.3  542 536.72 503043
26/11/14 540.37 541.47 -0.1  541.47 537.05 562899
25/11/14 541.08 539 0.3  543.9 538.67 697504
24/11/14 539.27 537.8 0.3  542.69 535.69 561059
21/11/14 537.5 542.14 0.5  542.14 536.59 994371
20/11/14 534.83 531.25 -0.4  535.11 531.25 535031
19/11/14 536.99 535 0.4  538.01 530.08 456839
18/11/14 535.03 537.5 -0.3  541.94 534.2 613737
17/11/14 536.51 543.58 -1.4  543.58 534.15 691380
14/11/14 544.4 546.37 -0.2  546.4 542.15 427700
13/11/14 545.38 549.63 -0.4  549.69 543.48 461892
12/11/14 547.31 549.73 -0.5  549.88 545.19 411941
11/11/14 550.29 548.43 0.5  551.88 546.4 350921
10/11/14 547.49 541.38 1.2  549.47 541.12 372725
7/11/14 541.01 546.21 -0.2  546.21 538.68 588853
6/11/14 542.04 545.67 -0.7  546.45 541 450681
5/11/14 545.92 556.8 -1.5  556.8 544.05 697112
4/11/14 554.11 553 -0.2  555.5 549.3 348441
3/11/14 555.22 553.87 -0.7  557.9 553.23 566294
31/10/14 559.08 559.57 1.6  559.57 554.86 785988
30/10/14 550.31 548.95 0.2  552.79 543.53 528317
29/10/14 549.33 550 0.1  554.15 547 637982
28/10/14 548.9 543 1.5  548.97 541.89 447988
27/10/14 540.77 537.03 0.2  544.25 537.03 467148
24/10/14 539.78 544.05 -0.8  544.37 535.85 718750
23/10/14 543.98 539.32 2.1  547.19 536.03 868853
22/10/14 532.71 529.89 1.2  539.78 528.8 1090585
21/10/14 526.54 525.19 1.1  526.62 519.11 896949
20/10/14 520.84 508.63 1.9  521.71 508.1 903670
17/10/14 511.17 526.53 -2.5  530.85 508.53 1728965
16/10/14 524.51 519 -1.0  529.43 515 1215850
15/10/14 530.03 530.45 -1.5  532.65 518.48 1295164
14/10/14 537.94 538.8 0.9  547.14 533.21 793388
13/10/14 533.21 544.99 -2.1  549.4 533.19 983351
10/10/14 544.49 558.34 -2.9  565 544.2 1008716
9/10/14 561.77 571.49 -1.9  571.49 559.08 660469
8/10/14 572.5 565.57 1.6  573.88 557.5 724158
7/10/14 563.74 575 -2.4  575.15 563.74 632044
6/10/14 577.35 578.8 0.4  581 574.5 393652
3/10/14 575.28 572.76 0.9  577.16 572.5 402599
2/10/14 570.08 568 0.3  571.82 563.52 381011
1/10/14 568.27 576.01 -1.6  577.36 567.12 483445
30/9/14 577.36 576.93 0.2  579.82 572.85 533047
29/9/14 576.36 571.75 -0.1  578.03 571.17 430337
26/9/14 577.1 576.06 0.4  579.24 574.7 480285
25/9/14 575.06 587.38 -2.2  587.98 574.2 616862
24/9/14 587.99 581.46 1.2  589.56 580.55 668653
23/9/14 581.13 586.85 -1.1  586.85 581 484086
22/9/14 587.37 593.79 -1.5  593.81 583.58 609794
19/9/14 596.08 591.63 1.2  596.08 589.75 1838791
18/9/14 589.27 587.3 0.8  589.54 585 551162
17/9/14 584.77 580.01 0.8  587.48 578.98 700311
16/9/14 579.95 573.71 1.2  581.5 572.98 469699
15/9/14 573.1 573.43 -0.4  574.77 568.34 535653
12/9/14 575.62 581 -1.0  581.64 574.48 595034
11/9/14 581.35 580.36 -0.3  581.74 576.31 416936
10/9/14 583.1 581.5 0.4  583.48 577 345162
9/9/14 581.01 588.2 -1.5  588.95 580 441127
8/9/14 589.72 586.3 0.6  591.68 586.3 525165
5/9/14 586.08 583.95 0.7  586.55 581.95 590291
4/9/14 581.98 580.2 0.7  586 579.23 465057
3/9/14 577.94 580 0.1  582.98 575.1 411681
2/9/14 577.33 571.19 1.0  577.72 571.19 505389
29/8/14 569.72 570.69 0.1  570.85 569.22 46534
28/8/14 569.2 569.56 -0.3  573.19 567.15 415452
26/8/14 577.86 581.39 -0.4  581.71 576.66 500990
25/8/14 580.2 584.72 -0.4  585 579.05 454534
22/8/14 582.56 583.59 -0.1  585.2 580.66 301482
21/8/14 583.37 583.74 -0.2  584.25 581.18 363961
20/8/14 584.49 585.88 -0.4  586.7 582.65 317585
19/8/14 586.86 585 0.8  587.27 584 357495
18/8/14 582.16 576.11 1.5  584.47 576.11 458988
15/8/14 573.48 577.86 -0.2  579.3 570.53 658588
14/8/14 574.65 576.15 -0.0  577.77 570.89 297207
13/8/14 574.78 567.31 2.1  574.91 565.99 479507
12/8/14 562.73 564.52 -0.9  565.74 560.91 460264
11/8/14 567.88 569.99 -0.2  570.28 566 435270
8/8/14 568.77 564 1.0  570.25 560.4 512424
7/8/14 563.36 568 -0.6  569.77 561.15 377110
6/8/14 566.49 561.78 0.3  570.57 560 451067
5/8/14 565.07 571.08 -1.4  571.94 562.61 523809
4/8/14 573.15 569.09 1.3  575.25 564.27 511789
1/8/14 566.07 570.9 -1.0  575.82 562.85 646820
30/7/14 587.42 586.55 0.3  589.5 584 347528
29/7/14 585.61 588.75 -0.8  589.6 583.53 478533
28/7/14 590.6 588.07 0.3  592.48 584.78 358828
25/7/14 589.02 590.4 -0.7  591.83 587.14 372675
24/7/14 593.35 596.45 -0.4  599.39 591.77 352088
23/7/14 595.98 593.23 0.2  597.81 592.5 535346
22/7/14 594.74 590.87 0.9  599.63 590.8 522507
21/7/14 589.47 591.75 -0.9  594.39 585.31 640053
18/7/14 592.1 593 3.3  593.76 582 842703
