Fecha Último Apert.  Dif. Máx. Mín. Volumen
28/11/14 346.59 353.59 -1.3  353.98 345.99 320377
26/11/14 351.16 351 0.6  353.69 348.3 428949
25/11/14 348.99 351.01 -2.1  352.42 344.12 1247019
24/11/14 356.47 360.56 -1.1  363.3 355.42 670727
21/11/14 360.28 372.48 -2.1  373.25 359.5 633409
20/11/14 368.14 363.09 1.4  373.25 361 573780
19/11/14 363.1 383.21 -4.7  387 362.67 980799
18/11/14 381.03 381 -0.0  384.77 380.54 296588
17/11/14 381.14 385.2 -1.3  389.48 380.8 292844
14/11/14 386.04 379.38 1.7  387.22 378.6 401528
13/11/14 379.41 384.46 -1.2  384.93 377.69 328362
12/11/14 383.86 381.13 0.3  385.96 377.14 380644
11/11/14 382.55 387.27 -1.2  394.1 381.83 604826
10/11/14 387.27 383 0.8  389.24 379 350767
7/11/14 384.16 383.44 0.2  384.84 379.32 466119
6/11/14 383.3 378 0.8  385.29 377.52 441948
5/11/14 380.38 385.61 -0.6  387.84 376.46 474420
4/11/14 382.78 386.92 -1.4  386.92 378.85 491295
3/11/14 388.41 393.12 -1.1  395.4 385.19 781580
31/10/14 392.77 384.4 3.6  393.74 384 807409
30/10/14 379.01 377.51 0.2  382.06 374.7 421616
29/10/14 378.1 386.22 -2.1  386.52 377.78 462652
28/10/14 386.22 379.75 1.8  386.84 378.9 516006
27/10/14 379.4 384 -1.5  384.45 376.71 559297
24/10/14 385.02 382.58 0.5  386.99 381.05 540519
23/10/14 383.04 380.52 2.2  385.71 378.55 690306
22/10/14 374.65 368.99 2.4  381.98 363.2 1187266
21/10/14 365.99 362.26 1.9  366.6 355.5 681829
20/10/14 359.22 356.28 0.6  369.13 355.82 1017464
17/10/14 357.09 359.95 -1.3  360.07 341.5 3058105
16/10/14 361.7 332.85 -19.4  366.15 331.01 3293322
15/10/14 448.59 444.72 -0.1  450.98 430.18 2147403
14/10/14 449.12 446.22 2.4  451.99 438.25 618035
13/10/14 438.58 451.04 -3.0  452.43 433.05 765492
10/10/14 452.08 459.71 -2.1  464.57 451.47 651654
9/10/14 462.09 466.04 -1.0  467.8 459.79 437360
8/10/14 466.86 456.65 2.3  467.57 451.49 489175
7/10/14 456.25 461.15 -1.6  466.2 456 417168
6/10/14 463.48 462 0.9  467.1 461 453247
3/10/14 459.54 453.13 2.1  460.55 452.8 556271
2/10/14 449.98 438.9 2.5  450.49 437.88 586797
1/10/14 438.8 448.69 -2.7  449.99 437.3 614159
30/9/14 451.18 452.5 0.4  457.15 449.8 401491
29/9/14 449.56 444.07 0.2  450.42 442.1 320135
26/9/14 448.75 445 1.2  450.54 444.01 397528
25/9/14 443.49 449.55 -1.6  452 442.74 371711
24/9/14 450.56 444.46 1.5  451.63 442.66 324130
23/9/14 443.9 441.02 0.3  448 440.53 328982
22/9/14 442.78 456.27 -3.2  456.84 438.95 598925
19/9/14 457.52 461 -0.3  461 454.35 460065
18/9/14 459.01 457.47 1.0  461.32 453.41 343785
17/9/14 454.53 456.91 -0.5  458.85 451.36 408260
16/9/14 456.91 448.13 -0.2  458.05 445.6 779137
15/9/14 457.75 476.66 -3.9  476.79 456.85 666010
12/9/14 476.55 483.65 -1.0  484.89 476.14 470384
11/9/14 481.56 482.57 -0.6  484.33 479.84 333481
10/9/14 484.39 480.2 1.1  484.67 477.04 334293
9/9/14 479.01 485.97 -0.1  489.26 476.53 615742
8/9/14 479.33 474.4 0.8  480.6 474.39 366245
5/9/14 475.68 473.23 0.6  477.35 470.08 410790
4/9/14 472.67 479.11 -1.0  481.64 472.15 403320
3/9/14 477.39 480.52 0.2  487.51 476.55 551655
2/9/14 476.6 478.19 -0.2  478.79 474.6 334692
29/8/14 477.64 476.85 0.5  480.5 474.18 386280
28/8/14 475.21 472.65 0.1  477.41 470.95 259356
26/8/14 479.36 478.5 -0.3  481.54 474.62 363966
25/8/14 480.93 481.55 0.4  485.27 477.67 511883
22/8/14 479.19 470.94 1.5  479.53 470.05 537136
21/8/14 472.05 471.28 -0.0  476.08 467.68 376979
