Fecha Último Apert.  Dif. Máx. Mín. Volumen
28/11/14 42.41 41.92 1.3  42.51 41.9 5077408
26/11/14 41.87 41.25 1.7  41.91 41.19 3530664
25/11/14 41.15 41.43 -0.7  41.64 41.15 3846477
24/11/14 41.43 41.44 -0.0  41.64 41.36 3540675
21/11/14 41.44 41.37 1.3  41.5 41.17 5397420
20/11/14 40.92 40.75 0.0  41 40.62 4192702
19/11/14 40.92 41.13 -0.8  41.15 40.81 2486000
18/11/14 41.26 41.16 0.2  41.47 41.11 3162539
17/11/14 41.16 40.65 0.8  41.2 40.63 3659849
14/11/14 40.84 40.83 0.3  41.07 40.63 3680654
13/11/14 40.72 40.06 1.4  40.77 39.89 3280650
12/11/14 40.14 40.45 -0.8  40.57 40.05 3781095
11/11/14 40.47 40.48 0.0  40.59 40.35 2306590
10/11/14 40.45 39.93 1.3  40.49 39.89 3664521
7/11/14 39.94 39.66 0.3  39.97 39.61 3929409
6/11/14 39.81 39.22 1.3  39.86 39.11 3798210
5/11/14 39.29 39.28 0.4  39.51 39.12 3301618
4/11/14 39.13 38.94 0.4  39.15 38.94 2909153
3/11/14 38.99 39 -0.2  39.03 38.77 3185815
31/10/14 39.05 38.99 1.4  39.05 38.83 5970457
30/10/14 38.5 38.55 -0.2  38.66 38.39 3436755
29/10/14 38.58 38.67 -0.2  38.72 38.46 4792547
28/10/14 38.65 38.45 0.6  38.73 38.45 3699067
27/10/14 38.43 38.6 -0.8  38.72 38.35 2670024
24/10/14 38.73 38.29 1.3  38.74 38.26 3195046
23/10/14 38.23 38.16 1.6  38.5 38.03 3171912
22/10/14 37.64 38.39 -1.9  38.43 37.59 4961454
21/10/14 38.35 38.35 1.5  38.43 38.04 4104291
20/10/14 37.8 36.37 -0.2  37.81 35.82 5395140
17/10/14 37.87 37.72 0.8  38.01 37.35 7425951
16/10/14 37.56 37.66 -1.9  38.18 37.52 6377014
15/10/14 38.3 37.55 -0.4  38.43 37.18 5575475
14/10/14 38.46 38.59 0.6  39.03 38.42 3705532
13/10/14 38.23 38.08 0.3  38.78 38.08 4427244
10/10/14 38.1 38.65 -1.7  39.1 38.09 3426812
9/10/14 38.81 39.09 -0.5  39.21 38.52 2193521
8/10/14 39.02 38.65 1.5  39.05 38.04 3160428
7/10/14 38.46 38.94 -1.6  39.07 38.43 3095453
6/10/14 39.08 39.06 0.5  39.24 38.95 3070042
3/10/14 38.89 38.42 1.6  39.11 38.42 3659026
2/10/14 38.27 38.16 0.5  38.55 37.93 2649015
1/10/14 38.09 38.31 -0.5  38.41 37.95 3068430
30/9/14 38.28 38.36 -0.4  38.57 38.14 4462541
29/9/14 38.44 38.49 -1.3  38.63 38.27 3038158
26/9/14 38.95 38.73 0.5  39 38.53 3202962
25/9/14 38.76 39.29 -1.7  39.29 38.65 3409761
24/9/14 39.42 38.8 1.5  39.55 38.58 3589624
23/9/14 38.83 39.5 -1.9  39.59 38.8 5450213
22/9/14 39.58 39.61 -0.6  39.74 39.24 6255817
19/9/14 39.8 40.6 -4.2  40.6 39.28 27030537
18/9/14 41.55 41.34 1.0  41.75 41.21 4273922
17/9/14 41.14 41.18 -0.1  41.32 40.77 3262278
16/9/14 41.19 40.69 1.3  41.33 40.5 2688193
15/9/14 40.66 40.4 0.4  40.76 40.22 3525256
12/9/14 40.5 40.66 -0.4  40.72 40.4 3493721
11/9/14 40.68 40.31 -0.1  40.69 40.2 3686388
10/9/14 40.71 40.66 0.0  40.81 40.57 2578629
9/9/14 40.71 40.69 0.2  40.91 40.43 3734192
8/9/14 40.64 41.08 -1.5  41.18 40.27 3562496
5/9/14 41.27 41.53 -0.7  41.76 41.26 4195345
4/9/14 41.55 41.88 -0.8  42.08 41.37 3143974
3/9/14 41.9 41.86 0.6  41.95 41.63 2585391
2/9/14 41.66 41.51 0.3  41.67 41.46 2450507
29/8/14 41.51 41.38 0.6  41.52 41.38 146472
28/8/14 41.27 41.52 -0.9  41.52 41.21 1893218
26/8/14 41.84 41.93 0.2  41.99 41.78 1682495
25/8/14 41.74 41.78 0.3  42.04 41.64 2173578
22/8/14 41.63 41.46 0.1  41.8 41.39 2566801
21/8/14 41.58 41.24 0.8  41.81 41.19 1891692
20/8/14 41.25 41.49 -0.4  41.52 41.09 2109670
19/8/14 41.41 40.68 1.9  41.57 40.65 2954195
18/8/14 40.64 40.42 0.9  40.77 40.42 2094189
15/8/14 40.28 40.26 0.1  40.58 39.99 3720110
14/8/14 40.22 40.37 -0.0  40.4 39.99 1793415
13/8/14 40.24 40.15 0.9  40.29 40.03 2363550
12/8/14 39.9 39.78 -0.1  40.04 39.73 1403125
11/8/14 39.92 40 -0.1  40.12 39.81 2793542
8/8/14 39.94 39.76 0.7  39.96 39.56 2399867
7/8/14 39.67 40.27 -1.2  40.43 39.59 1868656
6/8/14 40.16 39.8 0.5  40.35 39.8 2104407
5/8/14 39.96 40 -0.3  40.38 39.81 1940621
4/8/14 40.1 39.62 1.2  40.21 39.53 2622261
1/8/14 39.61 40.19 -1.9  40.53 39.58 3490199
30/7/14 40.96 40.65 0.8  41.03 40.58 2641929
29/7/14 40.63 40.53 0.2  40.92 40.5 3027325
28/7/14 40.55 40.34 0.5  40.82 40.23 2560579
25/7/14 40.33 40.3 -0.3  40.63 40.27 1859929
24/7/14 40.47 40.42 0.4  40.67 40.39 2631835
23/7/14 40.31 40.52 -0.3  40.65 40.24 2056538
22/7/14 40.43 40.22 1.0  40.7 39.98 2515338
21/7/14 40.01 40 0.0  40.23 39.92 3280649
18/7/14 40.01 40 0.3  40.15 39.9 1998644
17/7/14 39.91 40.25 -0.9  40.7 39.86 4340643
16/7/14 40.26 40.75 -0.7  40.88 40.13 2672852
15/7/14 40.54 40.38 0.1  40.8 40.36 3203672
14/7/14 40.49 40.45 0.9  40.67 40.41 1993296
11/7/14 40.13 40.39 -0.5  40.46 39.98 2107025
10/7/14 40.32 39.94 0.1  40.51 39.89 1867877
9/7/14 40.26 40.56 -0.7  40.71 40 2220253
8/7/14 40.56 40.68 -0.8  40.84 40.38 2470413
7/7/14 40.89 41 -1.1  41.1 40.75 2136616
3/7/14 41.34 41 1.0  41.35 40.99 2305078
2/7/14 40.95 40.8 0.4  41.2 40.8 2975632
1/7/14 40.77 40.48 0.6  40.91 40.44 2512075
30/6/14 40.53 40.58 0.0  40.82 40.5 3951247
27/6/14 40.53 40.16 0.9  40.66 40.15 4875277
26/6/14 40.15 40.5 -0.8  40.5 39.98 2766929
25/6/14 40.46 40.75 -0.7  40.83 40.39 2638527
24/6/14 40.76 41.07 -0.8  41.38 40.67 3621912
23/6/14 41.1 41 0.7  41.33 40.75 2500152
20/6/14 40.82 40.29 -4.0  40.93 39.93 13514803
19/6/14 42.51 43 -0.7  43.19 42.43 5136192
18/6/14 42.81 42.4 1.2  42.85 42.31 1966277
17/6/14 42.32 42.02 0.4  42.7 42.02 2445495
16/6/14 42.15 42 0.0  42.22 41.78 1559299
13/6/14 42.14 42.09 0.3  42.17 41.71 2238349
12/6/14 42 42.5 -1.3  42.61 41.85 2066708
11/6/14 42.56 42.4 -0.2  42.88 42.4 1693838
10/6/14 42.66 42.5 -0.1  42.88 42.5 2815854
9/6/14 42.7 42.62 0.2  42.8 42.42 1930552
